Name,Address,Phone,Email,Department,Password
ZGk Yum,nClTkfIEq,3093970286,zgk_yum@iitrpr.ac.in,CS,iitrpr
NvUHTxv EoA,OCTIpa,5005509723,nvuhtxv_eoa@iitrpr.ac.in,CS,iitrpr
xoPUS nFj,RiaThoenUK,5558094832,xopus_nfj@iitrpr.ac.in,CS,iitrpr
TPsA zNcb,OKjzpaC gqvLFWvjJi,6050394753,tpsa_zncb@iitrpr.ac.in,CS,iitrpr
rGGZkzc EvEYEts,wHStxJhU,7040974278,rggzkzc_eveyets@iitrpr.ac.in,CS,iitrpr
kLRTZSjl HGbwU,BTeTWn,1058116338,klrtzsjl_hgbwu@iitrpr.ac.in,CS,iitrpr
XIK BoWzl,OkmhPkmpYl wCEemd,9275523892,xik_bowzl@iitrpr.ac.in,CS,iitrpr
EkBgwh JoxWsS,HjnnvNv,9960788723,ekbgwh_joxwss@iitrpr.ac.in,CS,iitrpr
Qazgw patu,ljekd BJKmLWn,6597355053,qazgw_patu@iitrpr.ac.in,CS,iitrpr
ZrvltnvJ mPiBPLS,JukEfiKHre WfRjbaKpRN,7717483195,zrvltnvj_mpibpls@iitrpr.ac.in,CS,iitrpr
PiC mkpWRqXy,eWIBKSegkJ MZXUByK,9325318951,pic_mkpwrqxy@iitrpr.ac.in,CS,iitrpr
TmtVtCpb OBzfT,OPAbnRTk,5149294860,tmtvtcpb_obzft@iitrpr.ac.in,EE,iitrpr
Ozd NLjXot,JloSooZDKY VxHNqJ,6455263917,ozd_nljxot@iitrpr.ac.in,EE,iitrpr
SnD YNy,ZYcvqBWd,3490157971,snd_yny@iitrpr.ac.in,EE,iitrpr
gZPHmA sRdJviT,XYavpffQkB yWupNuHKNs,4234424230,gzphma_srdjvit@iitrpr.ac.in,EE,iitrpr
JSXkDJNi AQioVnf,hcGeocfWL,2896569681,jsxkdjni_aqiovnf@iitrpr.ac.in,EE,iitrpr
aVhrJRm uwZQ,lfqwYrC AddSuAVTjh,4509767560,avhrjrm_uwzq@iitrpr.ac.in,EE,iitrpr
forO LBM,rfogsd hAWTtya,5696164837,foro_lbm@iitrpr.ac.in,EE,iitrpr
